Id,Label,GeoCategory,Affilations,Main Role,All Roles,Debut Year,Debut Region,Debut at Private Studio
0,"荣磊","Northeast","Changchun Film Studio (1)","Director","Director (1)",1959,"Northeast","False"
1,"郭镇铤","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)",1955,"Northeast","False"
2,"徐渭","Northeast","Changchun Film Studio (1)","美工","美工 (1)",1949,"Northeast","False"
3,"韩维钧","Northeast","Changchun Film Studio (1)","录音","录音 (1)",1960,"Northeast","False"
4,"常德荣","Northeast","Changchun Film Studio (1)","制片","制片 (1)",1964,"Northeast","False"
5,"李景文","Northeast","Changchun Film Studio (1)","化妆","化妆 (1)",1950,"Northeast","False"
6,"唐国儒","Northeast","Changchun Film Studio (1)","剪接","剪接 (1)",1966,"Northeast","False"
7,"常甄华","Northeast","Changchun Film Studio (1)","Director","Director (1)",1958,"Northeast","False"
8,"杨佩瑾","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Northeast","False"
9,"史健","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1966,"Northeast","False"
10,"赵文瑜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1960,"Northeast","False"
11,"白德彰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1950,"Northeast","False"
12,"张园","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1955,"Northeast","False"
13,"陈燕","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1966,"Northeast","False"
14,"徐牧","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1966,"Northeast","False"
15,"周文彬","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1955,"Northeast","False"
16,"李亚林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1956,"Northeast","False"
17,"庄焰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1950,"Northeast","False"
18,"李瑛","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1960,"Northeast","False"
19,"常彦","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)",1950,"Northeast","False"
20,"王崇","Northeast","Changchun Film Studio (1)","美术","美术 (1)",1956,"Northeast","False"
21,"王继贤","Northeast","Changchun Film Studio (1)","美术","美术 (1)",1958,"Northeast","False"
22,"全如玢","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)",1950,"Beijing","False"
23,"乔羽","Northeast","Changchun Film Studio (1)","作词","作词 (1)",1955,"Northeast","False"
24,"国亮","Northeast","Changchun Film Studio (1)","指挥","指挥 (1)",1966,"Northeast","False"
25,"吴致光","Northeast","Changchun Film Studio (1)","指挥","指挥 (1)",1966,"Northeast","False"
26,"马尔路","Beijing","Beijing Film Studio (1)","Scriptwriter | Director","Director (1) & Scriptwriter (1)",1962,"Beijing / Hong Kong","False"
27,"李百万","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1950,"Beijing / Northeast","False"
28,"李连生","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
29,"郑保民","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1950,"Beijing","False"
30,"杜德夫","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1949,"Northeast","False"
31,"黄非","Beijing","Beijing Film Studio (1)","Acting | 制片","制片 (1) & Acting (1)",1950,"Beijing","False"
32,"侯冠群","Beijing","Beijing Film Studio (2)","Acting","Acting (2)",1963,"Beijing","False"
33,"李春荣","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
34,"袁玫","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1957,"Northeast","False"
35,"于中义","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1954,"Beijing","False"
36,"阎增和","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1950,"Beijing","False"
37,"张莹","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1949,"Northeast","False"
38,"周森冠","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1954,"Shanghai (state)","False"
39,"安震江","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1954,"Northeast","False"
40,"王善尊","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1964,"Beijing","False"
41,"俞立文","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1964,"Beijing","False"
42,"袁其励","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1963,"Beijing","False"
43,"陈国梁","Beijing","Beijing Film Studio (1)","摄影","摄影 (1)",1957,"Beijing","False"
44,"程荣远","Beijing","Beijing Film Studio (1)","美术","美术 (1)",1961,"Beijing","False"
45,"郑律成","Beijing","Beijing Film Studio (1)","作曲","作曲 (1)",1966,"Beijing","False"
46,"傅英杰","Beijing","Beijing Film Studio (1)","录音","录音 (1)",1949,"Northeast","False"
47,"杨宗琦","Beijing","Beijing Film Studio (1)","剪辑","剪辑 (1)",1965,"Beijing","False"
48,"吴燕","Beijing","Beijing Film Studio (1)","化妆","化妆 (1)",1965,"Beijing","False"
49,"蒋国良","Beijing","Beijing Film Studio (1)","照明","照明 (1)",1965,"Beijing","False"
50,"姚关荣","Beijing","Beijing Film Studio (1)","指挥","指挥 (1)",1963,"Beijing","False"
51,"成荫","Beijing","Beijing Film Studio (1)","Director","Director (1)",1949,"Northeast","False"
52,"董克娜","Beijing","Beijing Film Studio (1)","Director","Director (1)",1951,"Shanghai (state)","False"
53,"冯德英","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1965,"Beijing","False"
54,"许燕","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
55,"李玲修","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
56,"陈祖荣","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
57,"哈子刚","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1958,"Beijing","False"
58,"赵振涛","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
59,"刘惦晨","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
60,"韩秀黎","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
61,"曾静","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
62,"仲玉兰","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
63,"周素萍","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
64,"丹兵","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
65,"高洪涛","Beijing","Beijing Film Studio (1)","摄影","摄影 (1)",1950,"Beijing","False"
66,"俞翼如","Beijing","Beijing Film Studio (1)","美术","美术 (1)",1949,"Northeast","False"
67,"黄河","Beijing","Beijing Film Studio (1)","作曲","作曲 (1)",1966,"Beijing","False"
68,"丁家岐","Beijing","Beijing Film Studio (1)","作曲","作曲 (1)",1966,"Beijing","False"
69,"刘士达","Beijing","Beijing Film Studio (1)","录音","录音 (1)",1959,"Beijing","False"
70,"王世儒","Beijing","Beijing Film Studio (1)","指挥","指挥 (1)",1963,"Beijing","False"
71,"傅杰","Beijing","Beijing Film Studio (1)","Director","Director (1)",1949,"Northeast","False"
72,"房纯如","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Beijing","False"
73,"杨舒慧","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Beijing","False"
74,"田丹","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1953,"Beijing","False"
75,"于绍康","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1957,"Beijing","False"
76,"鲁非","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1949,"Northeast","False"
77,"齐桂荣","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1963,"Northeast","False"
78,"黄魁","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
79,"康桂秋","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
80,"徐景山","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
81,"赵炎","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
82,"江丹","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
83,"王炳彧","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1957,"Beijing","False"
84,"李荣春","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
85,"李孟尧","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1954,"Northeast","False"
86,"佟明林","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1966,"Beijing","False"
87,"聂晶","Beijing","Beijing Film Studio (1)","摄影","摄影 (1)",1950,"Northeast","False"
88,"秦威","Beijing","Beijing Film Studio (1)","美工","美工 (1)",1950,"Beijing","False"
89,"秦咏诚","Beijing","Beijing Film Studio (1)","作曲","作曲 (1)",1966,"Beijing","False"
90,"王韵华","Beijing","Beijing Film Studio (1)","录音","录音 (1)",1958,"Beijing","False"
91,"王诚","Beijing","Beijing Film Studio (1)","剪辑","剪辑 (1)",1950,"Beijing","False"
92,"李敏","Beijing","Beijing Film Studio (1)","剪辑","剪辑 (1)",1960,"Canton","False"
93,"颜燕铭","Beijing","Beijing Film Studio (1)","照明","照明 (1)",1966,"Beijing","False"
94,"王春朴","Beijing","Beijing Film Studio (1)","置景","置景 (1)",1966,"Beijing","False"
95,"邵杰","Beijing","Beijing Film Studio (1)","化妆","化妆 (1)",1959,"Beijing","False"
96,"姜锦明","Beijing","Beijing Film Studio (1)","服装","服装 (1)",1966,"Beijing","False"
97,"谢庆恒","Beijing","Beijing Film Studio (1)","道具","道具 (1)",1966,"Beijing","False"
98,"于清","Beijing","Beijing Film Studio (1)","副导演","副导演 (1)",1950,"Beijing","False"
99,"胡其明","Beijing","Beijing Film Studio (1)","制片","制片 (1)",1950,"Shanghai (state)","False"
100,"冯光涛","Beijing","Beijing Film Studio (1)","指挥","指挥 (1)",1956,"Beijing","False"
101,"李双江","Beijing","Beijing Film Studio (1)","独唱","独唱 (1)",1966,"Beijing","False"
102,"李谷一","Beijing","Beijing Film Studio (1)","独唱","独唱 (1)",1966,"Beijing","False"
103,"秋里","Beijing","Beijing Film Studio (1)","指挥","指挥 (1)",1958,"Beijing","False"
104,"天然","Shanghai (state)","Haiyan Film Studio (1)","Director","Director (1)",1950,"Shanghai (state)","False"
105,"赵焕章","Shanghai (state)","Haiyan Film Studio (1)","Director","Director (1)",1957,"Shanghai (state)","False"
106,"费礼文","Shanghai (state)","Haiyan Film Studio (1)","Scriptwriter","Scriptwriter (1)",1958,"Shanghai (state)","False"
107,"虞桂春","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1962,"Shanghai (state)","False"
108,"江山","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1949,"Shanghai (private)","True"
109,"仲星火","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1950,"Shanghai (state)","False"
110,"李明","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1950,"Shanghai (private)","True"
111,"金肇渠","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1962,"Shanghai (state)","False"
112,"于振寰","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1960,"Shanghai (state)","False"
113,"姚德冰","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1962,"Shanghai (state)","False"
114,"唐学芳","Shanghai (state)","Haiyan Film Studio (1)","Acting","Acting (1)",1966,"Shanghai (state)","False"
115,"彭恩礼","Shanghai (state)","Haiyan Film Studio (1)","摄影","摄影 (1)",1958,"Shanghai (state)","False"
116,"仲永清","Shanghai (state)","Haiyan Film Studio (1)","美术","美术 (1)",1956,"Shanghai (state)","False"
117,"王云阶","Shanghai (state)","Haiyan Film Studio (1)","作曲","作曲 (1)",1949,"Shanghai (private)","True"
118,"梁寒光","Shanghai (state)","Haiyan Film Studio (1)","作曲","作曲 (1)",1956,"Shanghai (state)","False"
119,"刘广阶","Shanghai (state)","Haiyan Film Studio (1)","录音","录音 (1)",1949,"Shanghai (private)","True"
120,"张淳","Shanghai (state)","Haiyan Film Studio (1)","剪辑","剪辑 (1)",1951,"Shanghai (state)","False"
121,"沈克强","Shanghai (state)","Haiyan Film Studio (1)","化妆","化妆 (1)",1958,"Shanghai (state)","False"
122,"张万春","Shanghai (state)","Haiyan Film Studio (1)","制片","制片 (1)",1960,"Shanghai (state)","False"
123,"宋光海","Shanghai (state)","Haiyan Film Studio (1)","指挥","指挥 (1)",1960,"Shanghai (state)","False"
124,"詹同渲","Shanghai (state)","Shanghai Animation Film Studio (1)","Director","Director (1)",1965,"Shanghai (state)","False"
125,"钟立人","Shanghai (state)","Shanghai Animation Film Studio (1)","摄影","摄影 (1)",1966,"Shanghai (state)","False"
126,"王昌诚","Shanghai (state)","Shanghai Animation Film Studio (1)","背景设计","背景设计 (1)",1950,"Shanghai (state)","False"
127,"陈钟驹","Shanghai (state)","Shanghai Animation Film Studio (1)","作曲","作曲 (1)",1966,"Shanghai (state)","False"
128,"陈鹰","Beijing","August First Film Studio (1)","Director","Director (1)",1963,"Beijing","False"
129,"陈俊","Beijing","August First Film Studio (1)","摄影","摄影 (1)",1958,"Beijing","False"
130,"费兰心","Beijing","August First Film Studio (1)","美工","美工 (1)",1966,"Beijing","False"
